Epoch: 92, Train Loss: 31.5417, Val Loss: 27.6574, In domain: axxesslocal.co.za, Out domain: axsesslsclc.co.za, In domain validation: shangoni.co.za, Out domain validation: shaoaoni.co.za
Epoch: 93, Train Loss: 31.4869, Val Loss: 27.5771, In domain: imlbounceback.com, Out domain: ilococnunak.com, In domain validation: gaffneyfoods.com, Out domain validation: fafndnfdods.com
Epoch: 94, Train Loss: 31.5585, Val Loss: 27.5912, In domain: passdiy.com, Out domain: apiysy.com, In domain validation: skiline.ru, Out domain validation: skilile.ru
Epoch: 95, Train Loss: 31.5685, Val Loss: 27.6055, In domain: mardelplata.gob.ar, Out domain: marlrlrtata.goa.ar, In domain validation: kbdi.ir, Out domain validation: dbdi.ir
Epoch: 96, Train Loss: 31.4902, Val Loss: 27.6306, In domain: mexat.com, Out domain: metex.com, In domain validation: crazybike.ru, Out domain validation: azazybyke.eu
Epoch: 97, Train Loss: 31.5043, Val Loss: 27.5722, In domain: ghurka.com, Out domain: ghkrua.com, In domain validation: freejobcorner.blogspot.com, Out domain validation: fraeoeoroanen.blogspot.com
Epoch: 98, Train Loss: 31.4008, Val Loss: 27.5832, In domain: meteox.de, Out domain: meoetx.de, In domain validation: chlin.com.tw, Out domain validation: chlhc.com.tu
Epoch: 99, Train Loss: 31.3728, Val Loss: 27.5741, In domain: smssound.ru, Out domain: smssnuod.ru, In domain validation: millstreambrewing.com, Out domain validation: milisertrmbmbngng.com
Epoch: 100, Train Loss: 31.4567, Val Loss: 27.5886, In domain: vicioushotdogsnoho.com, Out domain: vicucustoheogshoho.com, In domain validation: sepahansaghf.com, Out domain validation: aeaehahsafaf.com
Epoch: 101, Train Loss: 31.4588, Val Loss: 27.5353, In domain: ja.is, Out domain: ja.is, In domain validation: schulichcareerboard.ca, Out domain validation: sslilicaahereecoard.da
Epoch: 102, Train Loss: 31.4208, Val Loss: 27.5486, In domain: japaneseknifeimports.com, Out domain: papaseneififopoportr.com, In domain validation: anninuyasha.blogspot.com, Out domain validation: aiaiyuuashs.blogspot.com
Epoch: 103, Train Loss: 31.4208, Val Loss: 27.5662, In domain: egglesscooking.com, Out domain: ggelessoconing.com, In domain validation: choosinascope.info, Out domain validation: ahsioisanaeoe.iofo
Epoch: 104, Train Loss: 31.6575, Val Loss: 27.6281, In domain: leipzig-leben.de, Out domain: ipneg-g-beben.ne, In domain validation: upcmhelpline1076.in, Out domain validation: uucehchilple1016.in
Epoch: 105, Train Loss: 31.4239, Val Loss: 27.5138, In domain: raafng.com, Out domain: raagng.com, In domain validation: muabancf.com, Out domain validation: bmuanan.com
Epoch: 106, Train Loss: 31.3964, Val Loss: 27.5111, In domain: elrincondelosrecuerdos4.blogspot.com, Out domain: ctghlpaodecoererrud4s4.blogspot.com, In domain validation: altinkaynak.com, Out domain validation: altiaiaakak.com
Epoch: 107, Train Loss: 31.3742, Val Loss: 27.4274, In domain: magyarkesek.hu, Out domain: magrarkesek.iu, In domain validation: ticktick.com, Out domain validation: ctciciti.com
Epoch: 108, Train Loss: 31.4473, Val Loss: 27.4906, In domain: norrbottensmusiken.se, Out domain: nororoeoeosmusisen.se, In domain validation: blackpass.bz, Out domain validation: cckpass.sz
Epoch: 109, Train Loss: 31.3454, Val Loss: 27.5509, In domain: trekmovie.com, Out domain: tkmreoeie.com, In domain validation: eaglecampertrailers.com.au, Out domain validation: eaelelpepertraelirs.com.au
Epoch: 110, Train Loss: 31.4107, Val Loss: 27.4589, In domain: vevey-basket.ch, Out domain: evey-yaekst.ch, In domain validation: gkluk.com, Out domain validation: gukul.com
Epoch: 111, Train Loss: 31.4425, Val Loss: 27.4566, In domain: reliablesoft.net, Out domain: lerelelesost.net, In domain validation: fotoshare.co, Out domain validation: fofoahahe.eo
Epoch: 112, Train Loss: 31.3979, Val Loss: 27.4889, In domain: all-voprosi.ru, Out domain: lv-v-oposi.ru, In domain validation: happysappliances.com, Out domain validation: hahaysysiaiaecec.com
Epoch: 113, Train Loss: 31.3345, Val Loss: 27.4902, In domain: ecodis.fr, Out domain: ecidof.fr, In domain validation: designbuildweb.co, Out domain validation: daeisubnilelec.co
Epoch: 114, Train Loss: 31.3802, Val Loss: 27.4502, In domain: miraes.ru, Out domain: marirs.su, In domain validation: tapphelu.com, Out domain validation: tatalele.com
